#HDR T 20000.000000
#HDR DT 0.000500
#HDR theta0 0.060000
#HDR omega0 0.000000
#HDR L 1.000000
#HDR M 1.000000
#HDR g 9.810000
#passo tempo theta w alpha
9800.000000 4.900000 -0.056065 -0.066909 0.549712
9900.000000 4.950000 -0.058711 -0.038718 0.575628
10000.000000 5.000000 -0.059921 -0.009581 0.587476
10100.000000 5.050000 -0.059665 0.019790 0.584971
10200.000000 5.100000 -0.057950 0.048678 0.568174
10300.000000 5.150000 -0.054818 0.076376 0.537491
10400.000000 5.200000 -0.050344 0.102207 0.493664
10500.000000 5.250000 -0.044638 0.125541 0.437758
10600.000000 5.300000 -0.037841 0.145804 0.371131
10700.000000 5.350000 -0.030118 0.162502 0.295408
10800.000000 5.400000 -0.021657 0.175224 0.212439
10900.000000 5.450000 -0.012667 0.183659 0.124256
11000.000000 5.500000 -0.003366 0.187599 0.033022
11100.000000 5.550000 0.006017 0.186948 -0.059024
11200.000000 5.600000 0.015252 0.181721 -0.149620
11300.000000 5.650000 0.024115 0.172047 -0.236542
11400.000000 5.700000 0.032387 0.158164 -0.317659
11500.000000 5.750000 0.039866 0.140411 -0.390987
11600.000000 5.800000 0.046371 0.119225 -0.454733
11700.000000 5.850000 0.051740 0.095123 -0.507346
11800.000000 5.900000 0.055844 0.068697 -0.547547
11900.000000 5.950000 0.058582 0.040592 -0.574361
12000.000000 6.000000 0.059887 0.011495 -0.587139
12100.000000 6.050000 0.059727 -0.017883 -0.585571
12200.000000 6.100000 0.058106 -0.046823 -0.569697
12300.000000 6.150000 0.055064 -0.074620 -0.539900
12400.000000 6.200000 0.050674 -0.100593 -0.496901
12500.000000 6.250000 0.045045 -0.124107 -0.441744
12600.000000 6.300000 0.038314 -0.144587 -0.375769
12700.000000 6.350000 0.030645 -0.161531 -0.300585
12800.000000 6.400000 0.022227 -0.174523 -0.218028
12900.000000 6.450000 0.013264 -0.183244 -0.130120
13000.000000 6.500000 0.003977 -0.187481 -0.039017
13100.000000 6.550000 -0.005407 -0.187130 0.053044
13200.000000 6.600000 -0.014659 -0.182199 0.143803
13300.000000 6.650000 -0.023553 -0.172809 0.231030
13400.000000 6.700000 -0.031870 -0.159190 0.312588
13500.000000 6.750000 -0.039407 -0.141678 0.386480
13600.000000 6.800000 -0.045980 -0.120700 0.450901
13700.000000 6.850000 -0.051428 -0.096772 0.504282
13800.000000 6.900000 -0.055617 -0.070478 0.545325
13900.000000 6.950000 -0.058447 -0.042462 0.573035
14000.000000 7.000000 -0.059846 -0.013408 0.586741
14100.000000 7.050000 -0.059782 0.015973 0.586111
14200.000000 7.100000 -0.058255 0.044964 0.571161
14300.000000 7.150001 -0.055304 0.072856 0.542253
14400.000000 7.200000 -0.050999 0.098968 0.500087
14500.000000 7.250000 -0.045447 0.122661 0.445684
14600.000000 7.300000 -0.038783 0.143355 0.380369
14700.000000 7.350000 -0.031170 0.160542 0.305731
