#HDR T 25000.000000
#HDR DT 0.001000
#HDR theta0 0.053000
#HDR omega0 0.200000
#HDR L 1.000000
#HDR M 1.000000
#HDR g 9.810000
#passo tempo theta w alpha
0.000000 0.000000 0.053000 0.200000 -0.519687
100.000000 0.100000 0.070098 0.139162 -0.687097
200.000000 0.200000 0.080381 0.064815 -0.787686
300.000000 0.300000 0.082851 -0.015819 -0.811835
400.000000 0.400000 0.077268 -0.094919 -0.757248
500.000000 0.500000 0.064175 -0.164809 -0.629124
600.000000 0.600000 0.044842 -0.218695 -0.439749
700.000000 0.700000 0.021147 -0.251323 -0.207434
800.000000 0.800000 -0.004605 -0.259503 0.045179
900.000000 0.900000 -0.029910 -0.242435 0.293369
1000.000000 1.000000 -0.052304 -0.201789 0.512868
1100.000000 1.100000 -0.069612 -0.141535 0.682339
1200.000000 1.200000 -0.080151 -0.067541 0.785444
1300.000000 1.300000 -0.082901 0.013005 0.812324
1400.000000 1.400000 -0.077593 0.092290 0.760420
1500.000000 1.500000 -0.064742 0.162620 0.634677
1600.000000 1.600000 -0.045597 0.217159 0.447149
1700.000000 1.700000 -0.022016 0.250589 0.215963
1800.000000 1.800000 0.003706 0.259644 -0.036356
1900.000000 1.900000 0.029068 0.243437 -0.285115
2000.000000 2.000000 0.051602 0.203554 -0.505988
2100.000000 2.100000 0.069117 0.143890 -0.677499
2200.000000 2.200000 0.079913 0.070258 -0.783110
2300.000000 2.300000 0.082941 -0.010190 -0.812717
2400.000000 2.400000 0.077908 -0.089649 -0.763502
2500.000000 2.500000 0.065302 -0.160411 -0.640155
2600.000000 2.600000 0.046346 -0.215596 -0.454495
2700.000000 2.700000 0.022883 -0.249826 -0.224465
2800.000000 2.800000 -0.002806 -0.259755 0.027529
2900.000000 2.900000 -0.028223 -0.244411 0.276827
3000.000000 3.000000 -0.050893 -0.205295 0.499049
3100.000000 3.100000 -0.068615 -0.146229 0.672581
3200.000000 3.200000 -0.079665 -0.072967 0.780683
3300.000000 3.300000 -0.082971 0.007373 0.813015
3400.000000 3.400000 -0.078214 0.086999 0.766496
3500.000000 3.500000 -0.065854 0.158184 0.645559
3600.000000 3.600000 -0.047091 0.214009 0.461789
3700.000000 3.700000 -0.023747 0.249034 0.232941
3800.000000 3.800000 0.001906 0.259835 -0.018698
3900.000000 3.900000 0.027374 0.245355 -0.268507
4000.000000 4.000000 0.050179 0.207012 -0.492051
4100.000000 4.100000 0.068104 0.148551 -0.667583
4200.000000 4.200000 0.079407 0.075668 -0.778166
4300.000000 4.300000 0.082992 -0.004556 -0.813217
4400.000000 4.400000 0.078511 -0.084338 -0.769399
4500.000000 4.500000 0.066398 -0.155938 -0.650885
4600.000000 4.600000 0.047829 -0.212397 -0.469027
4700.000000 4.700000 0.024609 -0.248212 -0.241389
4800.000000 4.800000 -0.001006 -0.259885 0.009866
4900.000000 4.900000 -0.026523 -0.246271 0.260155
5000.000000 5.000000 -0.049459 -0.208705 0.484995
5100.000000 5.100000 -0.067585 -0.150855 0.662507
5200.000000 5.200000 -0.079140 -0.078360 0.775557
5300.000000 5.300000 -0.083003 0.001738 0.813324
5400.000000 5.400000 -0.078798 0.081667 0.772211
5500.000000 5.500000 -0.066934 0.153674 0.656135
5600.000000 5.600000 -0.048562 0.210759 0.476211
5700.000000 5.700000 -0.025467 0.247361 0.249809
5800.000000 5.800000 0.000105 0.259903 -0.001032
5900.000000 5.900000 0.025668 0.247158 -0.251771
6000.000000 6.000000 0.048733 0.210373 -0.477881
6100.000000 6.100000 0.067058 0.153142 -0.657351
6200.000000 6.200000 0.078864 0.081042 -0.772855
6300.000000 6.300000 0.083004 0.001080 -0.813335
6400.000000 6.400000 0.079077 -0.078987 -0.774933
6500.000000 6.500000 0.067463 -0.151391 -0.661309
6600.000000 6.600000 0.049290 -0.209097 -0.483338
6700.000000 6.700000 0.026323 -0.246481 -0.258199
6800.000000 6.800000 0.000795 -0.259892 -0.007802
6900.000000 6.900000 -0.024810 -0.248016 0.243359
7000.000000 7.000000 -0.048001 -0.212016 0.470711
7100.000000 7.100000 -0.066524 -0.155411 0.652119
7200.000000 7.200000 -0.078579 -0.083715 0.770064
7300.000000 7.300000 -0.082995 -0.003898 0.813251
7400.000000 7.400001 -0.079346 0.076297 0.777564
7500.000000 7.500000 -0.067983 0.149091 0.666404
7600.000000 7.600000 -0.050011 0.207410 0.490408
7700.000000 7.700000 -0.027175 0.245572 0.266559
7800.000000 7.800000 -0.001696 0.259849 0.016636
7900.000000 7.900001 0.023949 0.248844 -0.234916
8000.000000 8.000000 0.047264 0.213635 -0.463484
8100.000000 8.100000 0.065982 0.157661 -0.646809
8200.000000 8.200001 0.078284 0.086378 -0.767182
8300.000000 8.300000 0.082977 0.006716 -0.813071
8400.000000 8.400001 0.079605 -0.073599 -0.780103
8500.000000 8.500000 0.068496 -0.146773 -0.671420
8600.000000 8.600000 0.050727 -0.205698 -0.497420
8700.000000 8.700001 0.028025 -0.244634 -0.274887
8800.000000 8.800000 0.002596 -0.259776 -0.025467
8900.000000 8.900001 -0.023085 -0.249644 0.226447
9000.000000 9.000000 -0.046521 -0.215228 0.456203
9100.000000 9.100000 -0.065431 -0.159893 0.641424
9200.000000 9.200001 -0.077980 -0.089031 0.764210
9300.000000 9.300000 -0.082949 -0.009532 0.812796
